,price
0,2.3929121973538
1,2.426590068848886
2,2.7885297135464095
3,2.790800289876936
4,2.7593806352585193
5,2.649912351588761
6,2.351319146110484
7,2.322087988384836
8,2.373880763222534
9,2.3179745197560386
10,2.1921467366675036
11,1.7871630882545009
12,2.0271625333404866
13,1.8111361195581825
14,1.6671316581830338
15,1.4535100853007659
16,1.380419496095589
17,1.3966797738695456
18,1.3930295060077096
19,1.46602855907168
20,1.4239455391036644
21,1.6677594380048497
22,1.490397674502864
23,1.6102232922184396
24,1.7043700009897695
25,1.5383491127707634
26,1.3946986286822478
27,1.267886768299704
28,0.8213752631983512
29,0.5336199903831994
30,0.2999204607230831
31,-0.12354707004012679
32,-0.0035601537281868354
33,-0.05449298496777797
34,0.009733035854889755
35,-0.36993474454236275
36,-0.7085813234097322
37,-0.39259943346787457
38,-0.45735585295188347
39,-0.5561426575797633
40,-0.5060083838788508
41,-0.1597284179325383
42,-0.20564847777791825
43,-0.31921482584344507
44,-0.42605510948042896
45,-0.4045482677081646
46,-0.45993466153397866
47,-0.561704138635705
48,-0.4844233630405325
49,-0.4931922054608804
50,-0.43363141605428257
51,-0.3541503848116332
52,-0.33769557500798586
53,-0.2999353971262738
54,-0.4094368350261383
55,-0.43095347450566895
56,-0.3367530187222521
57,-0.332046419611303
58,-0.2887916247539831
59,-0.28091894997924605
60,-0.29543644150341897
61,-0.30270031612714493
62,-0.29927136716887653
63,-0.6011461715565601
64,-0.7578002862851306
65,-0.6072751025076725
66,-0.40644421241098383
67,-0.7324879102093608
68,-0.4186544343040043
69,-0.3242226558612874
70,-0.7161686860071793
71,-0.7402166339165694
72,-0.42896259615058036
73,-0.2884418377993487
74,-0.28091894997924605
75,-0.28432868271543527
76,-0.36160097612625985
77,-0.7403746172735661
78,-0.49787261259172116
79,-0.573334935739594
80,-0.2662020041675208
81,-0.21598277782733483
82,-0.44013862520193725
83,-0.6493377202667411
84,-0.39376904257072176
85,-0.2979152240793812
86,-0.3026925793441228
87,-0.1608647673820631
88,-0.1875896595345939
89,-0.2367506626528412
90,-0.5898865893534821
91,-0.5405142285089495
92,-0.21899994184397656
93,-0.13861845905202055
94,-0.42896128385891713
95,-0.3566766498352471
96,-0.6203262436714099
97,-0.6108196803325281
98,-0.29163372294674705
99,-0.22514781735294248
100,-0.5585857152634323
101,-0.6226306336251927
102,-0.6226306336251927
103,-0.6357236956407273
104,-0.22056370863979624
105,-0.18370883765667473
106,-0.6464314059256734
107,-0.36455042866241616
108,-0.5589313522086793
109,-0.11688665863842788
110,-0.6619020156014517
111,-0.6348485036591072
112,-0.6393666210986723
113,-0.7187363377838486
114,-0.6801982383371287
115,-0.7076890590172991
116,-0.7142274681650324
117,-0.7011500008636729
118,-0.7011500008636729
119,-0.6031868781576875
120,-0.33086654633632645
121,-0.13486451137776212
122,-0.2024463483071316
123,-0.1815848927563901
124,-0.2024463483071316
125,0.11871447013336728
126,-0.009980207425852677
127,0.22200290238115686
128,-0.2024463483071316
129,-0.1824918712285704
130,-0.2024463483071316
131,-0.1766022443222204
132,-0.12050206276980974
133,-0.05424182667929607
134,-0.2540835778349963
135,-0.31923661468828246
136,-0.5119735427525401
137,-0.6255895773070871
138,-0.6301844429106126
139,-0.65270344644763
140,-0.7012423628814377
141,-0.8992618802196419
142,-1.4697378184808005
143,-1.122323941582713
144,-0.9834646855727021
145,-1.2395349081265943
146,-1.6143355593135391
147,-1.533105196032243
148,-1.5462903054521528
149,-1.4322339247814766
